id,name,price,category,tags
1,Smartphone X,799.99,Electronics,"smartphone high-tech camera battery"
2,Laptop Pro,1299.99,Electronics,"laptop computer high-performance battery"
3,Wireless Headphones,149.99,Electronics,"headphones wireless audio bluetooth"
4,Running Shoes,89.99,Footwear,"shoes running sports athletic"
5,Coffee Maker,59.99,Kitchen,"coffee maker kitchen appliance brewing"
6,Yoga Mat,29.99,Fitness,"yoga mat fitness exercise workout"
7,Backpack,49.99,Accessories,"backpack bag travel storage"
8,Smart Watch,199.99,Electronics,"watch smart fitness tracking battery"
9,Blender,79.99,Kitchen,"blender kitchen appliance smoothie"
10,Desk Lamp,39.99,Home,"lamp desk lighting home office"